customer_id,organization_name,organization_type,organization_subtype,size_category,employee_count,subscription_tier,monthly_revenue,setup_date,primary_contact_name,primary_contact_email,primary_contact_phone,street_address,city,state,zip_code,time_zone,payment_methods,integration_count,last_login_date,support_tier,created_at,updated_at
VANCO0012,St. John's Episcopal Church,faith,church,large,120,premium,8000.00,2016-12-15,Rev. Elizabeth Davis,edavis@stjohns.org,555-234-6789,789 Episcopal Avenue,San Francisco,CA,94101,America/Los_Angeles,"[""online"", ""text"", ""mobile"", ""pos""]",10,2024-11-15,premium,2016-12-15 08:00:00,2024-11-20 16:30:00
VANCO0013,Oakwood Elementary School,school,elementary,medium,95,standard,5500.00,2019-07-22,Principal Thomas Miller,tmiller@oakwood.edu,555-345-7890,456 Oak Street,Nashville,TN,37201,America/Chicago,"[""online"", ""mobile""]",5,2024-11-12,basic,2019-07-22 09:45:00,2024-11-19 13:25:00
VANCO0014,Bright Futures Learning Center,childcare,daycare,medium,28,standard,1400.00,2021-09-14,Director Amanda White,awhite@brightfutures.com,555-456-8901,567 Future Drive,Orlando,FL,32801,America/New_York,"[""online"", ""text""]",4,2024-11-10,basic,2021-09-14 11:00:00,2024-11-18 15:50:00
VANCO0015,Community Arts Center,community_ed,arts,small,22,basic,950.00,2023-04-12,Program Director Jennifer Lee,jlee@communityarts.org,555-567-9012,890 Arts Boulevard,Austin,TX,73301,America/Chicago,"[""online""]",2,2024-11-06,basic,2023-04-12 14:30:00,2024-11-15 09:45:00
VANCO0016,First Presbyterian Church,faith,church,large,150,premium,12000.00,2015-05-30,Rev. William Johnson,wjohnson@firstpres.org,555-678-0123,234 Presbyterian Way,Boston,MA,02101,America/New_York,"[""online"", ""text"", ""mobile"", ""pos""]",15,2024-11-16,premium,2015-05-30 07:15:00,2024-11-20 17:10:00
VANCO0017,Washington High School,school,high,large,300,premium,18000.00,2018-01-15,Principal Michelle Rodriguez,mrodriguez@washington.edu,555-789-1234,678 Washington Street,San Diego,CA,92101,America/Los_Angeles,"[""online"", ""mobile"", ""pos""]",11,2024-11-14,premium,2018-01-15 08:45:00,2024-11-20 12:20:00
VANCO0018,Sacred Heart Catholic Church,faith,church,medium,75,standard,3800.00,2020-10-25,Father Antonio Silva,asilva@sacredheart.org,555-890-2345,901 Sacred Heart Lane,Las Vegas,NV,89101,America/Los_Angeles,"[""online"", ""text""]",6,2024-11-13,basic,2020-10-25 10:20:00,2024-11-19 14:35:00
VANCO0019,Kiddie Corner Childcare,childcare,daycare,small,8,basic,400.00,2023-06-18,Owner Jessica Park,jpark@kiddiecorner.com,555-901-3456,123 Kiddie Lane,Salt Lake City,UT,84101,America/Denver,"[""online""]",1,2024-11-04,basic,2023-06-18 15:45:00,2024-11-14 11:25:00
VANCO0020,Jefferson Elementary School,school,elementary,medium,110,standard,6800.00,2017-09-05,Principal Robert Taylor,rtaylor@jefferson.edu,555-012-4567,456 Jefferson Road,Columbus,OH,43201,America/New_York,"[""online"", ""mobile""]",7,2024-11-11,basic,2017-09-05 08:30:00,2024-11-18 16:15:00
VANCO0021,Grace Community Methodist Church,faith,mosque,small,29,standard,1632.00,2021-01-25,Imam William Smith,william.smith@gracecommunitymethodistchurch.org,555-601-2805,3570 School Dr,Austin,TX,73394,America/Chicago,"[""online""]",14,2024-11-02,basic,2021-01-25 16:32:00,2024-11-18 10:42:00
VANCO0022,Harvest Catholic Church,faith,church,small,45,basic,1463.00,2018-06-14,Rev. Jennifer Davis,jennifer.davis@harvestcatholicchurch.org,555-293-9574,3534 Park St,San Francisco,CA,94153,America/Los_Angeles,"[""online"", ""mobile""]",12,2024-11-11,basic,2018-06-14 13:14:00,2024-11-15 09:24:00
VANCO0023,St. Paul Episcopal Church,faith,mosque,medium,129,basic,5800.00,2015-07-27,Imam John Brown,john.brown@st.paulepiscopalchurch.org,555-503-5952,8844 School Ave,Phoenix,AZ,85096,America/Phoenix,"[""online"", ""text""]",8,2024-10-11,basic,2015-07-27 11:04:00,2024-11-15 09:39:00
VANCO0024,Cornerstone Catholic Church,faith,church,small,8,standard,1720.00,2016-02-24,Rev. Lisa Martinez,lisa.martinez@cornerstonecatholicchurch.org,555-178-4284,5284 Park Ave,Dallas,TX,75227,America/Chicago,"[""online"", ""mobile""]",8,2024-10-12,basic,2016-02-24 14:17:00,2024-11-20 17:25:00
VANCO0025,Emmanuel Baptist Baptist Church,faith,church,small,12,standard,1868.00,2016-03-21,Rev. Mary Miller,mary.miller@emmanuelbaptistbaptistchurch.org,555-187-2899,4838 School Ave,Columbus,OH,43217,America/New_York,"[""online"", ""mobile""]",11,2024-10-12,basic,2016-03-21 13:36:00,2024-11-18 10:05:00
VANCO0026,Blessed Sacrament Catholic Church,faith,synagogue,large,253,standard,15205.00,2024-05-26,Rabbi Lisa Williams,lisa.williams@blessedsacramentcatholicchurch.org,555-799-6187,4752 Church Blvd,Houston,TX,77053,America/Chicago,"[""online"", ""text"", ""pos""]",11,2024-11-18,basic,2024-05-26 11:41:00,2024-11-20 17:04:00
VANCO0027,Christ the King Catholic Church,faith,church,medium,58,standard,3304.00,2021-12-27,Rev. Sarah Martinez,sarah.martinez@christthekingcatholicchurch.org,555-389-6104,2608 Main St,Boston,MA,2129,America/New_York,"[""online"", ""mobile""]",8,2024-11-03,basic,2021-12-27 10:53:00,2024-11-15 11:56:00
VANCO0028,Mount Olive Lutheran Church,faith,church,medium,99,standard,6456.00,2017-01-28,Rev. William Smith,william.smith@mountolivelutheranchurch.org,555-646-1198,533 Church Blvd,Boston,MA,2143,America/New_York,"[""online"", ""mobile"", ""text""]",2,2024-10-02,basic,2017-01-28 14:43:00,2024-11-16 14:30:00
VANCO0029,Riverside Church,faith,mosque,small,9,premium,1422.00,2016-06-11,Imam Robert Davis,robert.davis@riversidechurch.org,555-927-6926,2205 Park Blvd,San Francisco,CA,94170,America/Los_Angeles,"[""online"", ""text""]",1,2024-11-11,premium,2016-06-11 17:36:00,2024-11-16 17:19:00
VANCO0030,Riverside Lutheran Church,faith,synagogue,small,37,standard,741.00,2023-03-04,Rabbi Jennifer Garcia,jennifer.garcia@riversidelutheranchurch.org,555-142-9074,5521 Main Ave,Los Angeles,CA,90012,America/Los_Angeles,"[""online"", ""mobile"", ""text""]",3,2024-10-09,basic,2023-03-04 15:00:00,2024-11-18 15:50:00
VANCO0031,Hope Methodist Catholic Church,faith,synagogue,small,5,premium,1285.00,2021-01-25,Rabbi Robert Davis,robert.davis@hopemethodistcatholicchurch.org,555-303-3613,8953 Main Blvd,Indianapolis,IN,46229,America/New_York,"[""online"", ""text""]",9,2024-10-07,premium,2021-01-25 16:54:00,2024-11-16 14:17:00
VANCO0032,Cornerstone Baptist Church,faith,synagogue,large,264,premium,14592.00,2016-02-10,Rabbi Lisa Garcia,lisa.garcia@cornerstonebaptistchurch.org,555-506-6200,8077 School St,Chicago,IL,60658,America/Chicago,"[""online"", ""mobile""]",15,2024-11-05,premium,2016-02-10 09:31:00,2024-11-17 14:13:00
VANCO0033,Trinity Lutheran Church,faith,synagogue,small,13,standard,1763.00,2018-09-03,Rabbi William Williams,william.williams@trinitylutheranchurch.org,555-453-1353,9777 Main Blvd,Seattle,WA,98150,America/Los_Angeles,"[""online"", ""mobile""]",10,2024-11-09,basic,2018-09-03 09:09:00,2024-11-19 14:44:00
VANCO0034,Crossroads Church,faith,synagogue,medium,102,premium,2914.00,2018-08-13,Rabbi Michael Brown,michael.brown@crossroadschurch.org,555-499-4351,2764 Church Ave,Denver,CO,80286,America/Denver,"[""online"", ""mobile""]",9,2024-11-17,premium,2018-08-13 12:49:00,2024-11-15 14:25:00
VANCO0035,St. Paul Church,faith,mosque,medium,80,standard,7625.00,2024-02-17,Imam John Brown,john.brown@st.paulchurch.org,555-958-2810,9235 School Blvd,San Antonio,TX,78255,America/Chicago,"[""online""]",12,2024-11-11,basic,2024-02-17 15:58:00,2024-11-18 12:00:00
VANCO0036,Calvary Baptist Presbyterian Church,faith,church,small,34,basic,1876.00,2023-03-14,Rev. Mary Martinez,mary.martinez@calvarybaptistpresbyterianchurch.org,555-664-6770,234 School Dr,Chicago,IL,60692,America/Chicago,"[""online"", ""mobile"", ""text""]",3,2024-10-02,basic,2023-03-14 12:50:00,2024-11-17 13:16:00
VANCO0037,Crossroads Community Church,faith,synagogue,large,285,standard,21843.00,2017-05-22,Rabbi John Davis,john.davis@crossroadscommunitychurch.org,555-582-3764,2099 School Dr,San Antonio,TX,78240,America/Chicago,"[""online"", ""mobile""]",4,2024-11-13,basic,2017-05-22 16:44:00,2024-11-16 09:13:00
VANCO0038,Riverside Methodist Church,faith,church,medium,80,basic,7884.00,2018-07-02,Rev. John Martinez,john.martinez@riversidemethodistchurch.org,555-349-2495,8719 Oak Ave,San Diego,CA,92194,America/Los_Angeles,"[""online"", ""mobile""]",3,2024-11-19,basic,2018-07-02 17:28:00,2024-11-19 09:07:00
VANCO0039,Blessed Sacrament Episcopal Church,faith,synagogue,small,38,standard,1626.00,2016-11-23,Rabbi Robert Rodriguez,robert.rodriguez@blessedsacramentepiscopalchurch.org,555-951-5940,4005 Oak St,Jacksonville,FL,32210,America/New_York,"[""online"", ""mobile""]",9,2024-11-18,basic,2016-11-23 13:04:00,2024-11-17 14:07:00
VANCO0040,St. Paul Methodist Church,faith,synagogue,small,30,basic,1199.00,2018-07-09,Rabbi Mary Garcia,mary.garcia@st.paulmethodistchurch.org,555-774-5211,456 Main Blvd,San Francisco,CA,94104,America/Los_Angeles,"[""online"", ""text""]",11,2024-10-09,basic,2018-07-09 12:22:00,2024-11-15 14:22:00
VANCO0041,Blessed Sacrament Lutheran Church,faith,synagogue,small,35,premium,629.00,2021-05-16,Rabbi Patricia Garcia,patricia.garcia@blessedsacramentlutheranchurch.org,555-536-6717,4687 Oak Ave,Boston,MA,2160,America/New_York,"[""online"", ""mobile""]",14,2024-11-03,premium,2021-05-16 16:09:00,2024-11-20 15:28:00
VANCO0042,Blessed Sacrament Methodist Church,faith,church,large,383,standard,16523.00,2015-06-16,Rev. Lisa Brown,lisa.brown@blessedsacramentmethodistchurch.org,555-655-7081,4838 Oak Dr,Phoenix,AZ,85075,America/Phoenix,"[""online"", ""text""]",12,2024-11-04,basic,2015-06-16 17:31:00,2024-11-17 13:52:00
VANCO0043,New Life Presbyterian Church,faith,church,small,5,basic,1594.00,2017-05-25,Rev. Michael Miller,michael.miller@newlifepresbyterianchurch.org,555-561-4169,3376 School Ave,Philadelphia,PA,19106,America/New_York,"[""online"", ""text""]",3,2024-10-18,basic,2017-05-25 12:42:00,2024-11-20 08:28:00
VANCO0044,Emmanuel Baptist Church,faith,church,small,28,basic,847.00,2024-06-13,Rev. John Johnson,john.johnson@emmanuelbaptistchurch.org,555-256-5212,1269 Main Ave,Dallas,TX,75214,America/Chicago,"[""online"", ""mobile""]",2,2024-10-17,basic,2024-06-13 12:53:00,2024-11-19 17:06:00
VANCO0045,Crossroads Baptist Church,faith,church,small,17,basic,1019.00,2018-05-12,Rev. Robert Brown,robert.brown@crossroadsbaptistchurch.org,555-806-9641,9027 School Dr,Boston,MA,2172,America/New_York,"[""online""]",5,2024-11-10,basic,2018-05-12 15:18:00,2024-11-16 17:39:00
VANCO0046,Calvary Baptist Methodist Church,faith,synagogue,large,300,basic,21145.00,2022-01-20,Rabbi David Smith,david.smith@calvarybaptistmethodistchurch.org,555-433-5118,4876 School St,Phoenix,AZ,85088,America/Phoenix,"[""online"", ""mobile"", ""text""]",13,2024-10-16,basic,2022-01-20 15:23:00,2024-11-15 10:57:00
VANCO0047,New Life Presbyterian Church #1,faith,mosque,large,285,standard,24308.00,2019-05-17,Imam Patricia Martinez,patricia.martinez@newlifepresbyterianchurch1.org,555-106-2819,9597 School Blvd,Phoenix,AZ,85066,America/Phoenix,"[""online"", ""mobile""]",11,2024-11-17,basic,2019-05-17 14:58:00,2024-11-16 15:40:00
VANCO0048,Crossroads Church #1,faith,church,small,12,basic,1156.00,2016-09-28,Rev. Sarah Johnson,sarah.johnson@crossroadschurch1.org,555-118-1722,2472 Park Blvd,Fort Worth,TX,76170,America/Chicago,"[""online""]",9,2024-10-03,basic,2016-09-28 10:33:00,2024-11-15 15:13:00
VANCO0049,Harvest Baptist Church,faith,synagogue,medium,85,premium,6575.00,2016-05-25,Rabbi Sarah Davis,sarah.davis@harvestbaptistchurch.org,555-744-1016,9211 Park Blvd,Philadelphia,PA,19150,America/New_York,"[""online"", ""mobile""]",6,2024-10-10,premium,2016-05-25 09:36:00,2024-11-20 17:51:00
VANCO0050,Grace Community Episcopal Church,faith,mosque,medium,109,standard,4819.00,2022-11-13,Imam Sarah Davis,sarah.davis@gracecommunityepiscopalchurch.org,555-911-3393,5102 Main Blvd,New York,NY,10089,America/New_York,"[""online"", ""mobile""]",5,2024-11-06,basic,2022-11-13 13:43:00,2024-11-19 08:15:00
VANCO0051,Blessed Sacrament Methodist Church #1,faith,mosque,small,46,basic,1015.00,2021-09-04,Imam Jennifer Rodriguez,jennifer.rodriguez@blessedsacramentmethodistchurch1.org,555-598-3831,2735 Church Blvd,Chicago,IL,60651,America/Chicago,"[""online"", ""mobile""]",3,2024-10-17,basic,2021-09-04 14:46:00,2024-11-16 17:47:00
VANCO0052,Trinity Lutheran Church #1,faith,synagogue,medium,126,standard,7453.00,2021-01-10,Rabbi Jennifer Johnson,jennifer.johnson@trinitylutheranchurch1.org,555-876-8712,4482 School Dr,Seattle,WA,98181,America/Los_Angeles,"[""online"", ""text""]",7,2024-10-13,basic,2021-01-10 13:28:00,2024-11-20 17:16:00
VANCO0053,Harvest Baptist Church #1,faith,church,medium,66,standard,5762.00,2018-05-08,Rev. Mary Miller,mary.miller@harvestbaptistchurch1.org,555-807-1329,3087 Park St,Boston,MA,2164,America/New_York,"[""online"", ""mobile""]",2,2024-11-14,basic,2018-05-08 09:58:00,2024-11-20 16:41:00
VANCO0054,Calvary Baptist Baptist Church,faith,church,small,21,premium,1095.00,2016-04-18,Rev. John Brown,john.brown@calvarybaptistbaptistchurch.org,555-691-1484,2816 School St,Los Angeles,CA,90012,America/Los_Angeles,"[""online"", ""mobile""]",3,2024-11-02,premium,2016-04-18 14:20:00,2024-11-17 14:20:00
VANCO0055,Hope Methodist Episcopal Church,faith,church,small,43,basic,499.00,2022-02-04,Rev. Lisa Williams,lisa.williams@hopemethodistepiscopalchurch.org,555-620-5650,4787 Church St,Phoenix,AZ,85025,America/Phoenix,"[""online""]",7,2024-11-08,basic,2022-02-04 11:17:00,2024-11-16 12:54:00
VANCO0056,Calvary Baptist Community Church,faith,church,medium,108,basic,3684.00,2020-12-26,Rev. Patricia Garcia,patricia.garcia@calvarybaptistcommunitychurch.org,555-494-6399,8095 Church Dr,Denver,CO,80210,America/Denver,"[""online"", ""text""]",5,2024-10-18,basic,2020-12-26 11:55:00,2024-11-15 17:05:00
VANCO0057,Living Water Church,faith,church,medium,69,standard,3371.00,2022-08-16,Rev. Sarah Johnson,sarah.johnson@livingwaterchurch.org,555-420-7634,6664 School St,San Francisco,CA,94176,America/Los_Angeles,"[""online""]",12,2024-11-05,basic,2022-08-16 13:26:00,2024-11-16 08:29:00
VANCO0058,Cornerstone Baptist Church #1,faith,synagogue,small,22,standard,1048.00,2022-01-26,Rabbi John Johnson,john.johnson@cornerstonebaptistchurch1.org,555-447-7454,1650 Church St,Philadelphia,PA,19175,America/New_York,"[""online""]",1,2024-10-08,basic,2022-01-26 14:00:00,2024-11-17 13:02:00
VANCO0059,Victory Catholic Church,faith,church,small,32,basic,675.00,2020-11-16,Rev. Lisa Williams,lisa.williams@victorycatholicchurch.org,555-883-7823,174 School St,Charlotte,NC,28274,America/New_York,"[""online""]",9,2024-10-04,basic,2020-11-16 12:44:00,2024-11-18 12:42:00
VANCO0060,Harvest Community Church,faith,mosque,medium,141,premium,7873.00,2015-03-09,Imam Lisa Williams,lisa.williams@harvestcommunitychurch.org,555-916-6868,6330 School Blvd,Dallas,TX,75259,America/Chicago,"[""online""]",6,2024-10-10,premium,2015-03-09 17:12:00,2024-11-15 16:33:00
VANCO0061,Calvary Baptist Presbyterian Church #1,faith,church,small,24,premium,1559.00,2020-04-21,Rev. Sarah Garcia,sarah.garcia@calvarybaptistpresbyterianchurch1.org,555-795-4066,3170 School Ave,Boston,MA,2144,America/New_York,"[""online"", ""mobile"", ""text""]",8,2024-11-08,premium,2020-04-21 09:30:00,2024-11-18 13:06:00
VANCO0062,Riverside Lutheran Church #1,faith,mosque,medium,56,standard,4303.00,2021-04-06,Imam William Brown,william.brown@riversidelutheranchurch1.org,555-583-4179,4321 Park Ave,Philadelphia,PA,19195,America/New_York,"[""online""]",7,2024-10-11,basic,2021-04-06 14:53:00,2024-11-16 14:50:00
VANCO0063,Mount Olive Church,faith,mosque,small,6,premium,655.00,2023-03-16,Imam Patricia Smith,patricia.smith@mountolivechurch.org,555-412-5960,6321 Park Dr,San Diego,CA,92140,America/Los_Angeles,"[""online"", ""mobile""]",2,2024-10-01,premium,2023-03-16 11:13:00,2024-11-18 14:20:00
VANCO0064,Grace Community Church #1,faith,church,small,44,basic,567.00,2016-07-19,Rev. Michael Brown,michael.brown@gracecommunitychurch1.org,555-219-5684,5143 Oak Dr,Charlotte,NC,28281,America/New_York,"[""online"", ""text""]",13,2024-10-05,basic,2016-07-19 12:44:00,2024-11-20 09:31:00
VANCO0065,Living Water Lutheran Church,faith,mosque,small,25,premium,1957.00,2024-02-11,Imam Sarah Jones,sarah.jones@livingwaterlutheranchurch.org,555-834-2826,9247 School St,Boston,MA,2102,America/New_York,"[""online""]",13,2024-11-13,premium,2024-02-11 12:15:00,2024-11-16 16:53:00
VANCO0066,Mount Olive Episcopal Church,faith,mosque,large,472,standard,12743.00,2015-05-27,Imam Sarah Garcia,sarah.garcia@mountoliveepiscopalchurch.org,555-904-7236,262 Church Blvd,Charlotte,NC,28260,America/New_York,"[""online"", ""text""]",4,2024-10-01,basic,2015-05-27 08:07:00,2024-11-16 16:28:00
VANCO0067,Grace Community Episcopal Church #1,faith,mosque,small,17,basic,1111.00,2021-09-18,Imam Mary Johnson,mary.johnson@gracecommunityepiscopalchurch1.org,555-671-2208,7292 Church Dr,San Jose,CA,95125,America/Los_Angeles,"[""online"", ""mobile"", ""text""]",10,2024-10-08,basic,2021-09-18 13:48:00,2024-11-17 11:51:00
VANCO0068,St. Mary Episcopal Church,faith,synagogue,medium,145,premium,5649.00,2016-03-27,Rabbi Mary Rodriguez,mary.rodriguez@st.maryepiscopalchurch.org,555-696-1871,1617 Main Dr,Seattle,WA,98176,America/Los_Angeles,"[""online"", ""text""]",13,2024-10-09,premium,2016-03-27 17:58:00,2024-11-17 10:37:00
VANCO0069,Harvest Presbyterian Church,faith,synagogue,small,7,standard,1989.00,2019-02-10,Rabbi Michael Davis,michael.davis@harvestpresbyterianchurch.org,555-450-5560,4985 Main Blvd,San Jose,CA,95169,America/Los_Angeles,"[""online""]",11,2024-11-16,basic,2019-02-10 17:19:00,2024-11-20 08:43:00
VANCO0070,Crossroads Baptist Church #1,faith,mosque,small,45,basic,1905.00,2024-09-08,Imam Sarah Garcia,sarah.garcia@crossroadsbaptistchurch1.org,555-952-9573,3988 Church St,Houston,TX,77033,America/Chicago,"[""online"", ""mobile"", ""text""]",15,2024-10-02,basic,2024-09-08 16:05:00,2024-11-15 17:42:00
VANCO0071,Riverside Church #1,faith,synagogue,small,37,standard,1497.00,2016-08-26,Rabbi David Jones,david.jones@riversidechurch1.org,555-328-5299,5907 Park Dr,Fort Worth,TX,76141,America/Chicago,"[""online"", ""mobile""]",9,2024-11-13,basic,2016-08-26 11:15:00,2024-11-15 10:31:00
VANCO0072,Trinity Lutheran Catholic Church,faith,synagogue,small,25,standard,433.00,2015-05-06,Rabbi Patricia Garcia,patricia.garcia@trinitylutherancatholicchurch.org,555-326-2048,458 Main Dr,Boston,MA,2167,America/New_York,"[""online"", ""mobile"", ""text""]",13,2024-11-01,basic,2015-05-06 17:06:00,2024-11-18 15:03:00
VANCO0073,Blessed Sacrament Community Church,faith,synagogue,small,11,standard,1906.00,2020-12-14,Rabbi Sarah Miller,sarah.miller@blessedsacramentcommunitychurch.org,555-642-1272,6333 Church St,Denver,CO,80271,America/Denver,"[""online"", ""mobile""]",15,2024-10-08,basic,2020-12-14 10:01:00,2024-11-18 17:00:00
VANCO0074,Living Water Episcopal Church,faith,synagogue,large,230,basic,23912.00,2015-12-21,Rabbi Patricia Martinez,patricia.martinez@livingwaterepiscopalchurch.org,555-933-5999,7733 Oak Ave,Seattle,WA,98117,America/Los_Angeles,"[""online"", ""mobile""]",3,2024-11-11,basic,2015-12-21 13:18:00,2024-11-17 08:27:00
VANCO0075,Mount Olive Church #1,faith,mosque,medium,76,premium,7013.00,2018-09-12,Imam John Smith,john.smith@mountolivechurch1.org,555-456-4526,8479 School St,Los Angeles,CA,90008,America/Los_Angeles,"[""online""]",3,2024-11-09,premium,2018-09-12 17:18:00,2024-11-16 11:47:00
VANCO0076,Living Water Church #1,faith,mosque,small,11,basic,1772.00,2019-06-27,Imam John Martinez,john.martinez@livingwaterchurch1.org,555-324-8710,1703 School Ave,Columbus,OH,43266,America/New_York,"[""online"", ""mobile"", ""text""]",14,2024-11-07,basic,2019-06-27 15:24:00,2024-11-15 15:27:00
VANCO0077,Victory Presbyterian Church,faith,mosque,medium,73,premium,7723.00,2017-12-09,Imam Mary Martinez,mary.martinez@victorypresbyterianchurch.org,555-544-9067,4913 Main Blvd,New York,NY,10014,America/New_York,"[""online"", ""mobile"", ""text""]",4,2024-11-16,premium,2017-12-09 16:35:00,2024-11-17 08:46:00
VANCO0078,Grace Community Baptist Church,faith,synagogue,medium,51,premium,2911.00,2018-09-28,Rabbi William Rodriguez,william.rodriguez@gracecommunitybaptistchurch.org,555-389-7582,4167 Oak Blvd,San Francisco,CA,94107,America/Los_Angeles,"[""online"", ""mobile"", ""text""]",11,2024-10-20,premium,2018-09-28 08:13:00,2024-11-17 15:32:00
VANCO0079,Blessed Sacrament Episcopal Church #1,faith,church,medium,114,standard,3479.00,2020-04-11,Rev. Robert Williams,robert.williams@blessedsacramentepiscopalchurch1.org,555-378-2655,1294 Oak St,San Diego,CA,92184,America/Los_Angeles,"[""online"", ""mobile""]",8,2024-10-14,basic,2020-04-11 12:26:00,2024-11-18 12:53:00
VANCO0080,Riverside Community Church,faith,mosque,small,25,basic,1476.00,2018-12-23,Imam Sarah Jones,sarah.jones@riversidecommunitychurch.org,555-998-7030,287 Park Dr,Seattle,WA,98110,America/Los_Angeles,"[""online"", ""mobile"", ""text""]",12,2024-11-01,basic,2018-12-23 11:05:00,2024-11-20 16:01:00
VANCO0081,Calvary Baptist Methodist Church #1,faith,synagogue,small,32,basic,754.00,2017-06-01,Rabbi William Brown,william.brown@calvarybaptistmethodistchurch1.org,555-315-2426,9238 Oak St,San Antonio,TX,78233,America/Chicago,"[""online"", ""mobile"", ""text""]",13,2024-10-15,basic,2017-06-01 14:34:00,2024-11-15 10:26:00
VANCO0082,Calvary Baptist Lutheran Church,faith,mosque,small,12,basic,821.00,2023-12-06,Imam Lisa Davis,lisa.davis@calvarybaptistlutheranchurch.org,555-348-5607,6684 School Blvd,Boston,MA,2131,America/New_York,"[""online"", ""mobile""]",2,2024-10-05,basic,2023-12-06 14:42:00,2024-11-19 15:14:00
VANCO0083,Victory Community Church,faith,mosque,medium,146,basic,4013.00,2023-09-16,Imam Sarah Jones,sarah.jones@victorycommunitychurch.org,555-371-8953,6090 School Blvd,Los Angeles,CA,90001,America/Los_Angeles,"[""online"", ""mobile""]",12,2024-11-05,basic,2023-09-16 16:44:00,2024-11-19 09:56:00
VANCO0084,Emmanuel Baptist Episcopal Church,faith,synagogue,medium,73,basic,4948.00,2024-12-03,Rabbi Patricia Rodriguez,patricia.rodriguez@emmanuelbaptistepiscopalchurch.org,555-699-6513,7148 Main Blvd,San Diego,CA,92127,America/Los_Angeles,"[""online"", ""mobile""]",15,2024-10-01,basic,2024-12-03 17:33:00,2024-11-18 09:40:00
