employee_id,customer_id,first_name,last_name,email,phone,title,role,department,hire_date,is_primary_contact,is_active,last_login_date,training_completed,permissions,created_at,updated_at
EMP0011,VANCO0003,Robert,Allen,robert.allen@gracecommunitychurch.org,555-684-8362,Associate Pastor,admin,Leadership,2024-10-05,True,True,2024-11-02,True,"[""billing"", ""reports"", ""settings"", ""users""]",2024-10-05 00:00:00,2024-11-20 14:30:00
EMP0012,VANCO0003,George,Mitchell,george.mitchell@gracecommunitychurch.org,555-256-6775,Music Director,admin,Operations,2023-07-17,False,True,2024-10-30,True,"[""billing"", ""reports"", ""settings"", ""users""]",2023-07-17 00:00:00,2024-11-20 14:30:00
EMP0013,VANCO0003,Jessica,Flores,jessica.flores@gracecommunitychurch.org,555-455-5360,Youth Pastor,admin,Leadership,2022-04-29,False,True,2024-11-06,True,"[""billing"", ""reports"", ""settings"", ""users""]",2022-04-29 00:00:00,2024-11-20 14:30:00
EMP0014,VANCO0004,Steven,Jackson,steven.jackson@sunshinedaycarecenter.org,555-753-5853,Lead Teacher,director,Operations,2024-05-12,True,True,2024-11-07,True,"[""billing"", ""reports"", ""settings"", ""users""]",2024-05-12 00:00:00,2024-11-20 14:30:00
EMP0015,VANCO0004,Edward,Allen,edward.allen@sunshinedaycarecenter.org,555-373-4822,Director,admin,Operations,2024-03-09,False,True,2024-10-31,True,"[""billing"", ""reports"", ""settings"", ""users""]",2024-03-09 00:00:00,2024-11-20 14:30:00
EMP0016,VANCO0004,Christopher,Nguyen,christopher.nguyen@sunshinedaycarecenter.org,555-773-9699,Administrative Assistant,volunteer,Administration,2025-03-06,False,True,2024-11-12,True,"[""basic_access""]",2025-03-06 00:00:00,2024-11-20 14:30:00
EMP0017,VANCO0004,Jessica,Scott,jessica.scott@sunshinedaycarecenter.org,555-854-4844,Finance Coordinator,finance,Finance,2023-02-19,False,True,2024-11-12,False,"[""billing"", ""reports""]",2023-02-19 00:00:00,2024-11-20 14:30:00
EMP0018,VANCO0005,Michelle,Garcia,michelle.garcia@templebethshalom.org,555-246-6420,Administrative Assistant,director,Administration,2020-03-29,True,True,2024-11-10,True,"[""billing"", ""reports"", ""settings"", ""users""]",2020-03-29 00:00:00,2024-11-20 14:30:00
EMP0019,VANCO0005,Laura,Moore,laura.moore@templebethshalom.org,555-795-8924,Cantor,volunteer,Operations,2021-05-22,False,True,2024-11-02,True,"[""basic_access""]",2021-05-22 00:00:00,2024-11-20 14:30:00
EMP0020,VANCO0005,Robert,Harris,robert.harris@templebethshalom.org,555-334-8451,Executive Director,admin,Operations,2019-07-04,False,False,2024-11-12,True,"[""billing"", ""reports"", ""settings"", ""users""]",2019-07-04 00:00:00,2024-11-20 14:30:00
EMP0021,VANCO0005,Daniel,Moore,daniel.moore@templebethshalom.org,555-978-4185,Rabbi,admin,Leadership,2022-11-11,False,True,2024-11-02,False,"[""billing"", ""reports"", ""settings"", ""users""]",2022-11-11 00:00:00,2024-11-20 14:30:00
EMP0022,VANCO0006,Jessica,Hernandez,jessica.hernandez@roosevelthighschool.org,555-965-8393,Athletic Director,admin,Operations,2019-10-06,True,True,2024-11-16,True,"[""billing"", ""reports"", ""settings"", ""users""]",2019-10-06 00:00:00,2024-11-20 14:30:00
EMP0023,VANCO0006,Christopher,Garcia,christopher.garcia@roosevelthighschool.org,555-260-3697,Assistant Principal,admin,Leadership,2021-04-12,False,True,2024-10-29,True,"[""billing"", ""reports"", ""settings"", ""users""]",2021-04-12 00:00:00,2024-11-20 14:30:00
EMP0024,VANCO0006,Jason,Moore,jason.moore@roosevelthighschool.org,555-884-3265,Registrar,director,Operations,2017-06-04,False,True,2024-11-17,False,"[""basic_access""]",2017-06-04 00:00:00,2024-11-20 14:30:00
EMP0025,VANCO0006,Andrew,Lopez,andrew.lopez@roosevelthighschool.org,555-215-9283,IT Coordinator,director,Operations,2022-04-03,False,True,2024-11-14,True,"[""basic_access""]",2022-04-03 00:00:00,2024-11-20 14:30:00
EMP0026,VANCO0006,Jessica,Thompson,jessica.thompson@roosevelthighschool.org,555-126-8566,Principal,admin,Leadership,2021-08-22,False,False,2024-11-01,True,"[""billing"", ""reports"", ""settings"", ""users""]",2021-08-22 00:00:00,2024-11-20 14:30:00
EMP0027,VANCO0007,Sarah,Rivera,sarah.rivera@hopebaptistchurch.org,555-472-5049,Associate Pastor,admin,Leadership,2021-09-26,True,True,2024-11-03,True,"[""billing"", ""reports"", ""settings"", ""users""]",2021-09-26 00:00:00,2024-11-20 14:30:00
EMP0028,VANCO0007,Mary,White,mary.white@hopebaptistchurch.org,555-572-7019,Pastor,admin,Leadership,2025-01-03,False,True,2024-11-17,True,"[""billing"", ""reports"", ""settings"", ""users""]",2025-01-03 00:00:00,2024-11-20 14:30:00
EMP0029,VANCO0007,Susan,Moore,susan.moore@hopebaptistchurch.org,555-645-2536,Youth Pastor,admin,Leadership,2025-02-03,False,True,2024-11-13,True,"[""billing"", ""reports"", ""settings"", ""users""]",2025-02-03 00:00:00,2024-11-20 14:30:00
EMP0030,VANCO0007,Timothy,White,timothy.white@hopebaptistchurch.org,555-664-7681,Finance Director,admin,Finance,2021-08-07,False,True,2024-11-04,True,"[""billing"", ""reports"", ""settings"", ""users""]",2021-08-07 00:00:00,2024-11-20 14:30:00
EMP0031,VANCO0007,Donald,Perez,donald.perez@hopebaptistchurch.org,555-166-5583,Music Director,admin,Operations,2024-11-07,False,True,2024-11-06,True,"[""billing"", ""reports"", ""settings"", ""users""]",2024-11-07 00:00:00,2024-11-20 14:30:00
EMP0032,VANCO0008,Susan,Johnson,susan.johnson@littlelearnerspreschool.org,555-583-9659,Educational Director,admin,Programs,2024-11-14,True,True,2024-11-15,True,"[""billing"", ""reports"", ""settings"", ""users""]",2024-11-14 00:00:00,2024-11-20 14:30:00
EMP0033,VANCO0008,Betty,Lee,betty.lee@littlelearnerspreschool.org,555-150-3960,Director,admin,Operations,2025-05-14,False,True,2024-10-30,True,"[""billing"", ""reports"", ""settings"", ""users""]",2025-05-14 00:00:00,2024-11-20 14:30:00
EMP0034,VANCO0008,Lisa,Hernandez,lisa.hernandez@littlelearnerspreschool.org,555-500-5549,Administrative Assistant,director,Administration,2023-08-06,False,True,2024-10-30,True,"[""basic_access""]",2023-08-06 00:00:00,2024-11-20 14:30:00
EMP0035,VANCO0008,Betty,White,betty.white@littlelearnerspreschool.org,555-968-8888,Lead Teacher,director,Operations,2023-07-27,False,True,2024-11-14,True,"[""basic_access""]",2023-07-27 00:00:00,2024-11-20 14:30:00
EMP0036,VANCO0009,Elizabeth,Brown,elizabeth.brown@madisonmiddleschool.org,555-934-9683,Finance Manager,finance,Finance,2022-10-24,True,True,2024-10-25,True,"[""billing"", ""reports"", ""settings"", ""users""]",2022-10-24 00:00:00,2024-11-20 14:30:00
EMP0037,VANCO0009,Richard,Robinson,richard.robinson@madisonmiddleschool.org,555-948-1863,Assistant Principal,admin,Leadership,2023-01-02,False,True,2024-11-16,False,"[""billing"", ""reports"", ""settings"", ""users""]",2023-01-02 00:00:00,2024-11-20 14:30:00
EMP0038,VANCO0009,Timothy,Flores,timothy.flores@madisonmiddleschool.org,555-454-4633,Secretary,teacher,Administration,2021-10-16,False,True,2024-11-16,False,"[""basic_access""]",2021-10-16 00:00:00,2024-11-20 14:30:00
EMP0039,VANCO0009,Jason,Davis,jason.davis@madisonmiddleschool.org,555-725-2443,Principal,admin,Leadership,2022-01-28,False,True,2024-11-04,True,"[""billing"", ""reports"", ""settings"", ""users""]",2022-01-28 00:00:00,2024-11-20 14:30:00
EMP0040,VANCO0010,Gary,Smith,gary.smith@islamiccenterofpeace.org,555-971-1253,Administrative Director,admin,Administration,2023-11-19,True,False,2024-11-15,True,"[""billing"", ""reports"", ""settings"", ""users""]",2023-11-19 00:00:00,2024-11-20 14:30:00
EMP0041,VANCO0010,Sandra,Jackson,sandra.jackson@islamiccenterofpeace.org,555-398-3863,Community Outreach Coordinator,director,Operations,2022-03-17,False,True,2024-11-03,True,"[""basic_access""]",2022-03-17 00:00:00,2024-11-20 14:30:00
EMP0042,VANCO0010,Sharon,Martin,sharon.martin@islamiccenterofpeace.org,555-128-2974,Imam,admin,Leadership,2025-05-29,False,True,2024-10-24,True,"[""billing"", ""reports"", ""settings"", ""users""]",2025-05-29 00:00:00,2024-11-20 14:30:00
EMP0043,VANCO0010,Richard,Harris,richard.harris@islamiccenterofpeace.org,555-493-9852,Education Coordinator,teacher,Programs,2021-10-24,False,True,2024-10-30,True,"[""basic_access""]",2021-10-24 00:00:00,2024-11-20 14:30:00
EMP0044,VANCO0010,Matthew,Green,matthew.green@islamiccenterofpeace.org,555-611-9769,Office Assistant,volunteer,Administration,2021-07-10,False,True,2024-10-28,True,"[""basic_access""]",2021-07-10 00:00:00,2024-11-20 14:30:00
EMP0045,VANCO0011,Jeffrey,Scott,jeffrey.scott@helpinghandsnonprofit.org,555-880-4224,Executive Director,admin,Operations,2024-03-26,True,True,2024-11-04,False,"[""billing"", ""reports"", ""settings"", ""users""]",2024-03-26 00:00:00,2024-11-20 14:30:00
EMP0046,VANCO0011,Michael,Brown,michael.brown@helpinghandsnonprofit.org,555-745-4793,Development Coordinator,teacher,Operations,2024-09-04,False,True,2024-11-19,True,"[""basic_access""]",2024-09-04 00:00:00,2024-11-20 14:30:00
EMP0047,VANCO0011,Jeffrey,Campbell,jeffrey.campbell@helpinghandsnonprofit.org,555-431-1291,Program Director,admin,Programs,2024-10-29,False,True,2024-10-27,True,"[""billing"", ""reports"", ""settings"", ""users""]",2024-10-29 00:00:00,2024-11-20 14:30:00
EMP0048,VANCO0012,Linda,Gonzalez,linda.gonzalez@stjohnsepiscopalchurch.org,555-981-1154,Associate Pastor,admin,Leadership,2020-09-12,True,True,2024-11-02,True,"[""billing"", ""reports"", ""settings"", ""users""]",2020-09-12 00:00:00,2024-11-20 14:30:00
EMP0049,VANCO0012,Michelle,Brown,michelle.brown@stjohnsepiscopalchurch.org,555-558-8546,Pastor,admin,Leadership,2018-10-29,False,True,2024-11-10,True,"[""billing"", ""reports"", ""settings"", ""users""]",2018-10-29 00:00:00,2024-11-20 14:30:00
EMP0050,VANCO0012,James,Hall,james.hall@stjohnsepiscopalchurch.org,555-161-4354,Office Manager,teacher,Administration,2017-12-13,False,True,2024-10-22,True,"[""basic_access""]",2017-12-13 00:00:00,2024-11-20 14:30:00
EMP0051,VANCO0012,Linda,Anderson,linda.anderson@stjohnsepiscopalchurch.org,555-628-2519,Youth Pastor,admin,Leadership,2017-06-19,False,True,2024-11-04,False,"[""billing"", ""reports"", ""settings"", ""users""]",2017-06-19 00:00:00,2024-11-20 14:30:00
EMP0052,VANCO0012,Jennifer,Hill,jennifer.hill@stjohnsepiscopalchurch.org,555-179-9254,Administrative Assistant,volunteer,Administration,2019-07-31,False,True,2024-11-09,False,"[""basic_access""]",2019-07-31 00:00:00,2024-11-20 14:30:00
EMP0053,VANCO0013,John,Moore,john.moore@oakwoodelementaryschool.org,555-256-5192,IT Coordinator,teacher,Operations,2019-08-12,True,True,2024-10-31,False,"[""billing"", ""reports"", ""settings"", ""users""]",2019-08-12 00:00:00,2024-11-20 14:30:00
EMP0054,VANCO0013,Barbara,Harris,barbara.harris@oakwoodelementaryschool.org,555-459-4627,Assistant Principal,admin,Leadership,2019-12-06,False,True,2024-11-19,True,"[""billing"", ""reports"", ""settings"", ""users""]",2019-12-06 00:00:00,2024-11-20 14:30:00
EMP0055,VANCO0013,William,Moore,william.moore@oakwoodelementaryschool.org,555-358-2253,Registrar,teacher,Operations,2024-01-30,False,True,2024-11-15,False,"[""basic_access""]",2024-01-30 00:00:00,2024-11-20 14:30:00
EMP0056,VANCO0013,Ryan,Robinson,ryan.robinson@oakwoodelementaryschool.org,555-113-7267,Secretary,director,Administration,2021-12-04,False,True,2024-11-15,True,"[""basic_access""]",2021-12-04 00:00:00,2024-11-20 14:30:00
EMP0057,VANCO0013,Ryan,Rodriguez,ryan.rodriguez@oakwoodelementaryschool.org,555-993-3568,Principal,admin,Leadership,2021-04-26,False,True,2024-10-22,False,"[""billing"", ""reports"", ""settings"", ""users""]",2021-04-26 00:00:00,2024-11-20 14:30:00
EMP0058,VANCO0014,Robert,Garcia,robert.garcia@brightfutureslearningcenter.org,555-259-1345,Director,admin,Operations,2023-02-20,True,True,2024-11-06,False,"[""billing"", ""reports"", ""settings"", ""users""]",2023-02-20 00:00:00,2024-11-20 14:30:00
EMP0059,VANCO0014,Andrew,Anderson,andrew.anderson@brightfutureslearningcenter.org,555-559-3817,Assistant Director,admin,Operations,2021-11-30,False,True,2024-10-21,True,"[""billing"", ""reports"", ""settings"", ""users""]",2021-11-30 00:00:00,2024-11-20 14:30:00
EMP0060,VANCO0014,Deborah,Rivera,deborah.rivera@brightfutureslearningcenter.org,555-930-3492,Lead Teacher,director,Operations,2022-08-03,False,True,2024-11-12,True,"[""basic_access""]",2022-08-03 00:00:00,2024-11-20 14:30:00
EMP0061,VANCO0014,Charles,Taylor,charles.taylor@brightfutureslearningcenter.org,555-196-3355,Administrative Assistant,teacher,Administration,2022-06-17,False,True,2024-11-11,True,"[""basic_access""]",2022-06-17 00:00:00,2024-11-20 14:30:00
EMP0062,VANCO0015,Gary,Hill,gary.hill@communityartscenter.org,555-221-4021,Instructor Coordinator,director,Operations,2024-06-11,True,True,2024-10-23,True,"[""billing"", ""reports"", ""settings"", ""users""]",2024-06-11 00:00:00,2024-11-20 14:30:00
EMP0063,VANCO0015,Betty,Lewis,betty.lewis@communityartscenter.org,555-341-4037,Administrative Assistant,volunteer,Administration,2025-03-12,False,True,2024-11-13,True,"[""basic_access""]",2025-03-12 00:00:00,2024-11-20 14:30:00
EMP0064,VANCO0015,Jennifer,Nguyen,jennifer.nguyen@communityartscenter.org,555-161-4326,Marketing Coordinator,director,Operations,2023-05-12,False,True,2024-11-16,True,"[""basic_access""]",2023-05-12 00:00:00,2024-11-20 14:30:00
EMP0065,VANCO0016,Sandra,Hill,sandra.hill@firstpresbyterianchurch.org,555-178-8856,Associate Pastor,admin,Leadership,2017-09-12,True,True,2024-11-14,False,"[""billing"", ""reports"", ""settings"", ""users""]",2017-09-12 00:00:00,2024-11-20 14:30:00
EMP0066,VANCO0016,Anthony,Perez,anthony.perez@firstpresbyterianchurch.org,555-415-3313,Music Director,admin,Operations,2017-04-12,False,True,2024-11-15,True,"[""billing"", ""reports"", ""settings"", ""users""]",2017-04-12 00:00:00,2024-11-20 14:30:00
EMP0067,VANCO0016,Donna,Mitchell,donna.mitchell@firstpresbyterianchurch.org,555-710-5071,Pastor,admin,Leadership,2015-07-02,False,True,2024-11-08,True,"[""billing"", ""reports"", ""settings"", ""users""]",2015-07-02 00:00:00,2024-11-20 14:30:00
EMP0068,VANCO0016,George,Hernandez,george.hernandez@firstpresbyterianchurch.org,555-805-6837,Youth Pastor,admin,Leadership,2020-04-18,False,True,2024-11-11,True,"[""billing"", ""reports"", ""settings"", ""users""]",2020-04-18 00:00:00,2024-11-20 14:30:00
EMP0069,VANCO0016,Laura,Wright,laura.wright@firstpresbyterianchurch.org,555-517-4006,Administrative Assistant,director,Administration,2016-03-19,False,True,2024-10-27,True,"[""basic_access""]",2016-03-19 00:00:00,2024-11-20 14:30:00
EMP0070,VANCO0017,Linda,Wright,linda.wright@washingtonhighschool.org,555-906-7813,Assistant Principal,admin,Leadership,2018-10-23,True,True,2024-10-27,False,"[""billing"", ""reports"", ""settings"", ""users""]",2018-10-23 00:00:00,2024-11-20 14:30:00
EMP0071,VANCO0017,Sharon,Harris,sharon.harris@washingtonhighschool.org,555-803-3179,Athletic Director,admin,Operations,2021-06-23,False,True,2024-11-01,True,"[""billing"", ""reports"", ""settings"", ""users""]",2021-06-23 00:00:00,2024-11-20 14:30:00
EMP0072,VANCO0017,Gary,Moore,gary.moore@washingtonhighschool.org,555-212-3940,Registrar,teacher,Operations,2022-05-14,False,True,2024-11-03,True,"[""basic_access""]",2022-05-14 00:00:00,2024-11-20 14:30:00
EMP0073,VANCO0017,Kevin,Perez,kevin.perez@washingtonhighschool.org,555-713-1477,Principal,admin,Leadership,2021-07-18,False,True,2024-11-18,False,"[""billing"", ""reports"", ""settings"", ""users""]",2021-07-18 00:00:00,2024-11-20 14:30:00
EMP0074,VANCO0017,Jessica,Green,jessica.green@washingtonhighschool.org,555-545-5721,Finance Manager,finance,Finance,2022-12-26,False,True,2024-10-31,True,"[""billing"", ""reports""]",2022-12-26 00:00:00,2024-11-20 14:30:00
EMP0075,VANCO0018,Susan,Miller,susan.miller@sacredheartcatholicchurch.org,555-175-7745,Office Manager,teacher,Administration,2023-10-26,True,True,2024-11-08,True,"[""billing"", ""reports"", ""settings"", ""users""]",2023-10-26 00:00:00,2024-11-20 14:30:00
EMP0076,VANCO0018,Jennifer,Campbell,jennifer.campbell@sacredheartcatholicchurch.org,555-718-6682,Pastor,admin,Leadership,2021-11-09,False,True,2024-11-02,False,"[""billing"", ""reports"", ""settings"", ""users""]",2021-11-09 00:00:00,2024-11-20 14:30:00
EMP0077,VANCO0018,Susan,Baker,susan.baker@sacredheartcatholicchurch.org,555-893-7876,Finance Director,admin,Finance,2020-12-29,False,True,2024-11-04,False,"[""billing"", ""reports"", ""settings"", ""users""]",2020-12-29 00:00:00,2024-11-20 14:30:00
EMP0078,VANCO0018,Jason,Lee,jason.lee@sacredheartcatholicchurch.org,555-575-2738,Music Director,admin,Operations,2024-01-31,False,True,2024-10-25,True,"[""billing"", ""reports"", ""settings"", ""users""]",2024-01-31 00:00:00,2024-11-20 14:30:00
EMP0079,VANCO0018,Paul,Lopez,paul.lopez@sacredheartcatholicchurch.org,555-946-9004,Administrative Assistant,volunteer,Administration,2020-11-06,False,True,2024-11-01,True,"[""basic_access""]",2020-11-06 00:00:00,2024-11-20 14:30:00
EMP0080,VANCO0019,Kimberly,Miller,kimberly.miller@kiddiecornerchildcare.org,555-175-8761,Director,admin,Operations,2024-12-03,True,True,2024-10-25,True,"[""billing"", ""reports"", ""settings"", ""users""]",2024-12-03 00:00:00,2024-11-20 14:30:00
EMP0081,VANCO0019,Donna,Ramirez,donna.ramirez@kiddiecornerchildcare.org,555-907-2082,Lead Teacher,volunteer,Operations,2024-09-15,False,True,2024-11-16,True,"[""basic_access""]",2024-09-15 00:00:00,2024-11-20 14:30:00
EMP0082,VANCO0019,Donna,Wright,donna.wright@kiddiecornerchildcare.org,555-521-4273,Finance Coordinator,finance,Finance,2024-06-05,False,True,2024-10-27,False,"[""billing"", ""reports""]",2024-06-05 00:00:00,2024-11-20 14:30:00
EMP0083,VANCO0019,Richard,King,richard.king@kiddiecornerchildcare.org,555-769-4929,Administrative Assistant,volunteer,Administration,2023-08-31,False,True,2024-10-21,True,"[""basic_access""]",2023-08-31 00:00:00,2024-11-20 14:30:00
EMP0084,VANCO0020,Nancy,Harris,nancy.harris@jeffersonelementaryschool.org,555-672-8047,IT Coordinator,director,Operations,2019-06-20,True,True,2024-11-03,True,"[""billing"", ""reports"", ""settings"", ""users""]",2019-06-20 00:00:00,2024-11-20 14:30:00
EMP0085,VANCO0020,Brian,Jones,brian.jones@jeffersonelementaryschool.org,555-275-7579,Principal,admin,Leadership,2022-02-28,False,True,2024-10-30,True,"[""billing"", ""reports"", ""settings"", ""users""]",2022-02-28 00:00:00,2024-11-20 14:30:00
EMP0086,VANCO0020,Mark,King,mark.king@jeffersonelementaryschool.org,555-647-6525,Registrar,teacher,Operations,2020-11-26,False,True,2024-11-02,False,"[""basic_access""]",2020-11-26 00:00:00,2024-11-20 14:30:00
EMP0087,VANCO0020,George,Wilson,george.wilson@jeffersonelementaryschool.org,555-747-5391,Secretary,volunteer,Administration,2017-12-16,False,True,2024-11-10,True,"[""basic_access""]",2017-12-16 00:00:00,2024-11-20 14:30:00
EMP0088,VANCO0021,Daniel,Wright,daniel.wright@gracecommunitymethodistchurch.org,555-792-7879,Imam,admin,Leadership,2025-01-19,True,True,2024-10-23,False,"[""billing"", ""reports"", ""settings"", ""users""]",2025-01-19 00:00:00,2024-11-20 14:30:00
EMP0089,VANCO0021,Edward,Taylor,edward.taylor@gracecommunitymethodistchurch.org,555-405-5532,Office Assistant,teacher,Administration,2024-12-26,False,True,2024-11-04,True,"[""basic_access""]",2024-12-26 00:00:00,2024-11-20 14:30:00
EMP0090,VANCO0021,Lisa,Rivera,lisa.rivera@gracecommunitymethodistchurch.org,555-481-3980,Administrative Director,admin,Administration,2025-05-18,False,True,2024-11-02,True,"[""billing"", ""reports"", ""settings"", ""users""]",2025-05-18 00:00:00,2024-11-20 14:30:00
EMP0091,VANCO0021,Helen,Green,helen.green@gracecommunitymethodistchurch.org,555-869-2020,Education Coordinator,teacher,Programs,2023-11-08,False,True,2024-10-28,True,"[""basic_access""]",2023-11-08 00:00:00,2024-11-20 14:30:00
EMP0092,VANCO0022,Kimberly,Young,kimberly.young@harvestcatholicchurch.org,555-343-3566,Finance Director,admin,Finance,2023-10-13,True,True,2024-11-01,True,"[""billing"", ""reports"", ""settings"", ""users""]",2023-10-13 00:00:00,2024-11-20 14:30:00
EMP0093,VANCO0022,Christopher,Garcia,christopher.garcia@harvestcatholicchurch.org,555-777-6305,Associate Pastor,admin,Leadership,2021-09-02,False,True,2024-11-12,True,"[""billing"", ""reports"", ""settings"", ""users""]",2021-09-02 00:00:00,2024-11-20 14:30:00
EMP0094,VANCO0022,Timothy,Walker,timothy.walker@harvestcatholicchurch.org,555-441-9674,Office Manager,director,Administration,2021-05-28,False,True,2024-11-03,False,"[""basic_access""]",2021-05-28 00:00:00,2024-11-20 14:30:00
EMP0095,VANCO0023,Susan,Clark,susan.clark@stpaulepiscopalchurch.org,555-362-8389,Administrative Director,admin,Administration,2016-12-19,True,False,2024-11-19,True,"[""billing"", ""reports"", ""settings"", ""users""]",2016-12-19 00:00:00,2024-11-20 14:30:00
EMP0096,VANCO0023,Barbara,Davis,barbara.davis@stpaulepiscopalchurch.org,555-313-4097,Education Coordinator,teacher,Programs,2018-12-06,False,True,2024-10-21,True,"[""basic_access""]",2018-12-06 00:00:00,2024-11-20 14:30:00
EMP0097,VANCO0023,Deborah,Green,deborah.green@stpaulepiscopalchurch.org,555-316-2829,Community Outreach Coordinator,volunteer,Operations,2018-09-21,False,False,2024-10-30,True,"[""basic_access""]",2018-09-21 00:00:00,2024-11-20 14:30:00
EMP0098,VANCO0023,Laura,Harris,laura.harris@stpaulepiscopalchurch.org,555-896-8171,Imam,admin,Leadership,2015-11-24,False,True,2024-10-31,True,"[""billing"", ""reports"", ""settings"", ""users""]",2015-11-24 00:00:00,2024-11-20 14:30:00
EMP0099,VANCO0024,Betty,Baker,betty.baker@cornerstonecatholicchurch.org,555-179-1053,Associate Pastor,admin,Leadership,2020-12-18,True,True,2024-10-21,True,"[""billing"", ""reports"", ""settings"", ""users""]",2020-12-18 00:00:00,2024-11-20 14:30:00
EMP0100,VANCO0024,Daniel,Miller,daniel.miller@cornerstonecatholicchurch.org,555-641-5261,Office Manager,volunteer,Administration,2018-10-04,False,True,2024-10-28,False,"[""basic_access""]",2018-10-04 00:00:00,2024-11-20 14:30:00
EMP0101,VANCO0024,William,Wilson,william.wilson@cornerstonecatholicchurch.org,555-182-3839,Youth Pastor,admin,Leadership,2017-01-30,False,True,2024-10-22,False,"[""billing"", ""reports"", ""settings"", ""users""]",2017-01-30 00:00:00,2024-11-20 14:30:00
EMP0102,VANCO0024,Kenneth,Thomas,kenneth.thomas@cornerstonecatholicchurch.org,555-414-1983,Administrative Assistant,director,Administration,2020-04-24,False,True,2024-11-14,False,"[""basic_access""]",2020-04-24 00:00:00,2024-11-20 14:30:00
EMP0103,VANCO0025,Ruth,Brown,ruth.brown@emmanuelbaptistbaptistchurch.org,555-769-8399,Youth Pastor,admin,Leadership,2021-05-15,True,True,2024-11-02,True,"[""billing"", ""reports"", ""settings"", ""users""]",2021-05-15 00:00:00,2024-11-20 14:30:00
EMP0104,VANCO0025,Lisa,Rodriguez,lisa.rodriguez@emmanuelbaptistbaptistchurch.org,555-925-3997,Finance Director,admin,Finance,2019-08-10,False,True,2024-11-03,True,"[""billing"", ""reports"", ""settings"", ""users""]",2019-08-10 00:00:00,2024-11-20 14:30:00
EMP0105,VANCO0025,Sandra,Jones,sandra.jones@emmanuelbaptistbaptistchurch.org,555-162-9514,Associate Pastor,admin,Leadership,2019-12-24,False,True,2024-11-06,True,"[""billing"", ""reports"", ""settings"", ""users""]",2019-12-24 00:00:00,2024-11-20 14:30:00
EMP0106,VANCO0025,Betty,Lopez,betty.lopez@emmanuelbaptistbaptistchurch.org,555-868-3999,Administrative Assistant,teacher,Administration,2017-02-21,False,False,2024-10-21,True,"[""basic_access""]",2017-02-21 00:00:00,2024-11-20 14:30:00
EMP0107,VANCO0026,James,Martin,james.martin@blessedsacramentcatholicchurch.org,555-591-9278,Executive Director,admin,Operations,2025-01-04,True,True,2024-11-08,True,"[""billing"", ""reports"", ""settings"", ""users""]",2025-01-04 00:00:00,2024-11-20 14:30:00
